@relation scope-weka.filters.supervised.instance.Resample-B0.3-S1-Z100.0

@attribute tokensP {or,consistent_with,suggesting,may,no,suggest,rather_than,without,versus,could,rule_out,likely,raising_the_question_of,negative,question,vs,either_or,not,evaluate_for,probable,consistent,possible,possibly,presumed,apparently,none,suggestive,and_or,compatible_with,and_or_and_or,worrisome_for,can,cannot_rule_out,concerning_for,questionable,probably,concern_for,consider,no_evidence,lack,not_excluded,suspicious_for,assuming,considerations,suggested,raise_the_question_of,apparent,indicate,vs_vs,perhaps,favored,would,unsure,whether,cannot,suspected,appears,cannot_be_excluded,raising_the_possibility_of,suggestion,suspicious,supporting,favor,suspect,exclude,maybe,favored_over,should,absence_of,question_of,suspicion_for,presumably,suggests,appear,no_longer,not_exclude,cannot_exclude,for_evaluation_of,not_sure,felt,uncertain,the_possibility_not_ruled_out,or_or,evaluated_for,reevaluate_for,versus_versus,considerations_include,thought,raises_the_question_of,raises_question_of,could_not_exclude,evaluate,to_exclude,unclear,indicates,either,no_nor,feel_that,neither,reportedly,xotherx}
@attribute TypeP {neg,esp}
@attribute POSP {CC,JJ_IN,VBG,MD,DT,VB,VBP,RB_IN,IN,NN_IN,JJ,NN_RP,VBG_DT_NN_IN,NN,NNS,DT_CC,RB,VB_IN,VBZ,VBN,JJ_JJ,CC_CC,JJ_JJ_JJ_JJ,VBP_NN_RP,VBP_IN,VBG_IN,DT_DT,DT_NN,RB_VBN,VBP_DT_NN_IN,NNS_NNS,RB_RB,RB_CC,NN_VB_VBN,VBD,VBN_IN,DT_RBR,RB_VB,NN_VBP,IN_NN_IN,RB_JJ,DT_NN_RB_VBN_RP,NNS_VBP,VBZ_DT_NN_IN,VBZ_NN_IN,MD_RB_VB,TO_VB,VB_VB,xotherx}
@attribute Token {very,mild,changes,of,viral,reactive,airway,disease,findings,or,consistent,with,right,lower,lobe,atelectasis,pneumonia,suggesting,peribronchial,thickening,which,be,secondary,to,an,airways,process,such,as,infection,may,focal,consolidation,suggest,no,middle,abnormalities,rather,than,bacterial,patchy,infiltrate,at,the,base,perihilar,stranding,acute,cardiopulmonary,abnormality,chronic,left,lung,account,for,symptoms,normal,chest,cough,and,wheezing,several,days,respiratory,tract,without,raising,question,fever,prominent,hilar,lymph,nodes,greater,could,in,nature,retained,secretions,early,radiographic,seen,signs,tuberculosis,new,has,not,resolved,is,recurrent,since,prior,study,either,stable,exam,evidence,involving,lingula,possibly,possible,antibiotics,curing,features,etiology,subtle,area,bronchial,wall,represent,a,patient,who,multiple,allergies,given,most,tracheomalacia,minimal,patchiness,but,current,bilateral,suggestive,hyperinflated,lungs,s,history,asthma,evident,compatible,heart,asthmatic,bronchitis,vs,pulmonary,pleural,lateral,costophrenic,sulcus,sequela,from,empyema,tube,placement,likely,currently,moderate,are,nonspecific,reflect,opacity,associated,hyperinflation,representing,there,illness,streaky,density,noted,though,lobar,angles,remain,sharp,effusion,slightly,limited,identified,please,this,greatly,changed,when,compared,previous,however,on,today,bony,infiltrates,have,developed,markings,also,minimally,increased,inflammation,appreciated,flattened,diaphragms,x,ray,radiograph,pneumothorax,lingular,small,other,abdominal,pain,increasing,sided,airspace,cervical,rib,some,air,space,explain,band,like,represents,context,persistent,follow,up,clinically,well,document,resolution,useful,because,trachea,straight,we,fully,double,aortic,arch,9.0,month,26.0,day,old,male,year,hypoventilation,frank,these,versus,change,caliber,transient,coughing,1.0,2.0,appearance,febrile,significant,interval,increase,effort,eight,although,volume,loss,present,upper,zone,bronchiolitis,low,four,female,fevers,opacities,lobes,degree,superimposed,aspiration,retrocardiac,only,frontal,view,significance,21.0,linear,regions,bases,multifocal,syndrome,related,11.0,16.0,both,pneumomediastinum,had,demonstrated,congestion,two,months,definite,consolidations,tb,subsegmental,tachypnea,cuffing,areas,trapping,picture,symmetric,reflects,involves,interstitial,otherwise,six,mycoplasma,cause,pneumonias,mediastinal,mass,more,does,kyphosis,thoracic,spine,excluded,active,vague,rounded,3.0,atypical,assuming,been,treated,adequately,aspirated,foreign,body,started,episode,gagging,choking,vomiting,being,performed,parenchymal,retropharyngeal,abscess,subglottic,narrowing,scattered,include,community,acquired,considerations,clinical,correlation,expanded,parenchyma,clear,due,5.0,19.0,raise,intermittent,weeks,three,clearing,apparent,screening,radiographs,indicate,probable,sternal,fracture,slight,prominence,central,known,x2,volumes,basilar,crowding,mildly,centrally,that,less,14.0,inspiratory,rule,out,was,examination,8.0,minor,perhaps,posteromedial,densities,nodule,positive,test,above,impressed,support,decrease,24.0,favored,probably,shadow,mediastinum,confluence,veins,higher,expected,followup,xray,helpful,6.0,infrahilar,it,whether,unsure,feeling,2001.0,mm,lucent,lesion,posterior,fifth,alternatively,effusions,calcified,granuloma,outside,thorax,region,skin,subcutaneous,tissues,nodular,within,described,comparison,rays,documenting,stability,if,documented,ct,would,further,evaluate,indicated,cannot,suspected,cystic,fibrosis,opacification,pectus,excavatum,vascularity,asymmetric,asymmetry,deformity,persist,evaluation,residual,bronchopulmonary,dysplasia,7.0,22.0,january,ten,stated,received,bcg,plus,unchanged,confluent,overall,over,superimposition,shadows,amount,hypoventilatory,single,ap,abdomen,reveal,near,except,bowel,loops,quadrant,mid,asymptomatic,curvature,positional,indistinctness,cardiac,border,hazy,bibasilar,uri,13.0,shortness,breath,projection,suggestion,consolidative,developing,somewhat,by,technique,expiratory,film,4.0,falling,off,growth,curve,week,stenosis,almost,obvious,adenopathy,granulomatous,radiographically,definable,note,cartilage,visible,plain,concern,about,anterior,ends,different,modality,imaging,need,employed,behind,hilum,superior,segment,pattern,lucencies,recent,presentations,recommendation,even,immunodeficiency,borderline,unless,information,i,favor,supporting,15.0,ppd,axillary,pneumococcal,suspect,sputum,worthwhile,dilatation,inflammatory,discussed,clearly,visualized,descending,aorta,barium,swallow,exclude,vascular,ring,etc,compressing,can,radiopaque,decubitus,views,consider,borne,suggested,source,comparative,films,extending,into,aspect,collapse,bodies,demonstrate,phases,respiration,during,questionable,paratracheal,respond,then,artifact,former,aspirating,work,breathing,birth,bilaterally,beneficial,ribs,explanation,considered,round,inferior,show,croup,combination,appearing,artery,correlated,presence,absence,murmur,should,hyperreactive,reason,tracheitis,radiating,hila,multi,diffuse,10.0,focus,lethargy,includes,bronchiectasis,development,improving,after,essentially,persists,repeat,bilaterality,age,included,differential,diagnosis,completely,what,vessels,variant,component,displaced,fractures,complicating,thereof,fluid,costochondral,junction,cartilaginous,injury,leftward,convex,needed,again,scoliosis,thoracolumbar,unremarkable,effects,obstructing,postoperative,edema,pertussis,sonographic,kidneys,notable,hydronephrosis,hydroureter,ureteropelvic,obstructions,stones,kidney,ureteral,jets,were,obstruction,debris,bladder,having,voided,morning,size,renal,ultrasound,duplication,partial,complete,compensatory,hypertrophy,standard,deviations,value,medical,subsequent,studies,intraoperative,examinations,revealed,connect,collecting,system,dilated,pelvis,empty,her,institution,previously,17.0,large,smaller,scarred,full,inspiration,accounts,bronchovascular,lack,reflux,signify,global,scarring,detected,pyelocalyceal,distention,significantly,localized,pyelectasis,distal,ureter,coarse,grown,last,appears,still,additional,splinting,towards,hurts,referred,urinary,calcification,calculi,suspicious,hyperdense,calcifications,now,characterized,ill,defined,vesicoureteral,deflux,injection,site,tiny,urothelial,soft,tissue,scapular,rotated,any,cortical,thinning,suggests,upright,free,finding,best,explained,administration,contrast,coating,ingested,substance,urine,voiding,medial,representative,remains,echogenic,pole,stone,difference,passed,fat,uncertain,contour,irregularity,postsurgical,relatively,wedge,shaped,hemithorax,reflecting,segmental,anatomic,initially,post,void,peristalsis,similar,shadowing,irregularities,habitus,nuclear,medicine,evaluating,scar,physiologic,pyelonephritis,appropriate,setting,difficulty,horseshoe,underlying,homogeneous,recommend,close,treatment,ureterocele,opens,vagina,urogenital,sinus,fourchette,possibility,ruled,entirely,controlled,albuterol,true,sinusitis,overlying,caliectasis,enlargement,longer,patch,pyelocaliectasis,side,years,few,levels,ileus,medication,effect,gi,retraction,ectasia,flank,gross,hematuria,abnormal,uti,angulation,inlet,attenuation,sternum,available,anomaly,calix,caliceal,diverticulum,under,dehydrated,provided,mother,congenital,dysplastic,measuring,cm,5.6,filled,normally,masses,one,first,level,inflation,sickle,cell,discrepancy,definitive,anechoic,structures,each,calyceal,distorted,calyx,hydrated,cyst,persistently,calculus,augmentation,whooping,concentric,cystitis,structural,appear,failure,infections,sometimes,grades,done,least,visualization,elevated,uncommon,differences,nondistended,duplicated,height,weight,material,portion,progression,purpose,diagnosed,continued,sonographically,spurious,technical,onset,following,procedure,fullness,catheterization,dilation,varies,time,edematous,tumors,anteriorly,structure,distended,incontinence,trabeculation,give,comparisons,our,complications,anomalies,dysfunction,raises,mobile,surgery,larger,hypovascularity,supported,atrophy,calices,just,mean,chronological,enlarged,walls,pelvic,retroperitoneal,trabeculated,thickened,neurogenic,initial,partially,images,bifid,systems,addition,hypoechoic,mucosal,ureterovesical,collapsed,nighttime,accidents,status,hemorrhage,consequence,cysts,according,hydrational,cystogram,recommended,relative,preservation,hyperechoic,catheter,variation,complication,ureteric,cystoscopy,pelvicalyceal,irregular,passage,actually,artificial,liver,hemangioma,sonogram,markedly,postvoid,severe,specifically,beckwith,wiedemann,do,despite,child,swelling,she,90.0,th,percentile,charts,workup,moiety,short,adherent,polyp,did,solitary,globally,spontaneous,decreased,extrarenal,measured,length,ovary,flow,hemorrhagic,tumor,aside,including,will,hydroureteronephrosis,megaureters,glomerulonephritis,pyelitis,grade,calcium,nephrocalcinosis,lobulated,pyramids,great,they,range,scan,real,scanning,functional,issue,megaureter,unclear,specified,morphologic,stasis,utero,dated,showing,function,mounds,surgical,complex,septated,collection,adjacent,urinoma,marked,measurable,remaining,mound,uncomplicated,cystourethrogram,warranted,simple,lining,nephrolithiasis,examined,impression,evaluated,shows,margin,reported,worsening,uroepithelial,hypoplastic,therefore,family,occurred,jet,extension,periphery,ago,reportedly,showed,before,concerning,perinephric,collections,obtaining,measurements,ectopic,nephrology,consultation,based,approximate,physical,parameters,watched,intrarenal,progressed,see,feel,junctional,line,insertions,improved,preoperative,moieties,measures,end,measurement,inaccurate,nonconventional,lie,grossly,prenatal,unilateral,internal,improvement,corticomedullary,differentiation,trabeculations,stool,colon,constipation,reimplantation,discovered,routine,felt,ureters,12.0,amenable,interventional,therapy,attempted,requested,resection,recently,studied,hydronephrosi,reaction,lengths,between,interobserver,variability,approximately,2.5,easily,missed,window,difficult,measure,period,correlate,laboratory,containing,exceeds,diameter,threshold,hemihypertrophy,wilms,their,echogenicity,vesicostomy,yesterday,intussusception,dehydration,excretion,xotherx}
@attribute POST {RB,JJ,NNS,IN,NN,CC,JJR,VBG,WDT,VB,TO,DT,MD,VBP,VBD,VBN,VBZ,WP,RBS,EX,WRB,PRP,CD,RBR,JJS,RP,NNP,FW,SYM,PRP$,xotherx}
@attribute class {isn,ise,os}

@data

not,neg,RB,the,DT,isn
no,neg,DT,chest,DT,isn
not,neg,RB,difficulty,NN,os
suggest,esp,VB,renal,JJ,ise
whether,esp,IN,question,NN,os
or,esp,CC,left,NN,os
consistent_with,esp,JJ_IN,air,NN,ise
without,neg,IN,peribronchial,JJ,os
likely,esp,RB,having,VBG,ise
evaluated_for,esp,VBN_IN,infection,JJ,ise
may,esp,MD,minimal,JJ,ise
could,esp,MD,are,VBP,os
possible,esp,JJ,be,VB,ise
no,neg,DT,on,IN,isn
may,esp,MD,there,EX,os
possible,esp,JJ,lingular,NN,ise
favored_over,neg,VBN_IN,linear,JJ,isn
may,esp,MD,related,JJ,ise
no,neg,DT,significant,JJ,isn
consistent_with,esp,JJ_IN,or,CC,ise
without,neg,IN,slight,JJ,os
without,neg,IN,dysplasia,JJ,isn
no,neg,DT,acute,JJ,isn
may,esp,MD,middle,NN,os
may,esp,MD,disease,VBN,ise
no,neg,DT,patchiness,NN,os
rule_out,esp,NN_IN,tb,NN,ise
or,esp,CC,hydronephrosis,NN,ise
likely,esp,RB,calyceal,JJ,os
not,neg,RB,does,VBZ,os
likely,esp,RB,the,DT,ise
consistent_with,esp,JJ_IN,peribronchial,JJ,os
suggesting,esp,VBG,perihilar,NN,os
felt,esp,VBN,over,IN,ise
possible,esp,JJ,pneumonia,JJ,ise
likely,esp,JJ,or,JJ,ise
or,esp,CC,are,VBP,ise
no,neg,DT,of,IN,isn
consistent_with,esp,JJ_IN,are,VBP,os
may,esp,MD,partial,JJ,ise
no,neg,DT,change,NN,isn
or,esp,CC,reflux,NN,ise
consistent_with,esp,JJ_IN,with,IN,os
suggest,esp,VB,this,DT,os
suggesting,esp,VBG,there,EX,os
no,neg,DT,weeks,DT,isn
rule_out,esp,NN_RP,days,NNS,os
or,esp,CC,a,DT,os
no,neg,DT,change,NN,isn
no,neg,DT,fibrosis,NNS,os
can,esp,MD,reactive,JJ,ise
or,esp,CC,viral,JJ,os
without,neg,IN,of,IN,os
presumably,esp,RB,value,NN,os
probably,esp,RB,bacterial,NN,ise
no,neg,DT,or,CC,isn
lack,neg,NN,left,JJ,isn
evaluate_for,esp,VBP_IN,fever,NN,os
no,neg,DT,complication,NN,isn
possible,esp,JJ,kidney,JJ,ise
or,esp,CC,opacity,NN,os
or,esp,CC,perihilar,NN,os
or,esp,CC,it,PRP,os
no,neg,DT,infiltrates,NNS,isn
suggest,esp,VB,seen,VBN,os
no,neg,DT,with,IN,os
consistent_with,esp,JJ_IN,viral,JJ,ise
suggest,esp,VB,minimal,JJ,os
not,neg,RB,within,IN,isn
versus,esp,IN,borderline,NN,os
may,esp,MD,of,IN,os
rule_out,esp,NN_IN,pneumonia,NN,ise
suspicious,esp,JJ,suggest,VB,os
would,esp,MD,of,IN,ise
likely,esp,JJ,with,IN,ise
could,esp,MD,this,DT,ise
or,esp,CC,peribronchial,JJ,os
without,neg,IN,uncomplicated,JJ,isn
consistent_with,esp,JJ_IN,patchy,NN,os
no,neg,DT,markings,NNS,os
consistent_with,esp,JJ_IN,on,IN,os
or,esp,CC,infection,DT,ise
vs,esp,VBZ,disease,DT,ise
no,neg,DT,superimposed,VBN,isn
lack,neg,NN,month,NN,isn
evaluate_for,esp,VB_IN,body,NN,os
suggest,esp,VB,no,DT,os
or,esp,CC,as,IN,ise
not,neg,RB,well,RB,isn
possibly,esp,RB,pectus,NN,ise
may,esp,MD,or,CC,ise
suggestive,esp,NN,lower,JJR,os
possible,esp,JJ,pneumonia,RB,os
or,esp,CC,s,DT,os
or,esp,CC,cardiac,JJ,os
likely,esp,RB,disease,JJ,ise
no,neg,DT,focal,JJ,isn
without,neg,IN,work,NN,os
vs,esp,NNS,consistent,JJ,os
suggest,esp,VB,pneumonia,EX,ise
without,neg,IN,sonographic,JJ,os
or,esp,CC,reactive,JJ,ise
or,esp,CC,there,EX,os
without,neg,IN,pneumonia,NNS,isn
may,esp,MD,or,CC,ise
no,neg,DT,there,EX,os
likely,esp,RB,of,IN,ise
no,neg,DT,of,IN,os
evaluate_for,esp,VB_IN,given,VBN,os
can,esp,MD,atelectasis,NNS,os
or,esp,CC,airways,NNS,ise
could,esp,MD,at,IN,os
without,neg,IN,the,DT,os
likely,esp,JJ,change,NN,os
could,esp,MD,outside,IN,ise
favored,esp,VBN,represent,VB,ise
no,neg,DT,interval,NN,isn
without,neg,IN,atelectasis,NN,os
no,neg,DT,increased,VBN,os
no,neg,DT,there,EX,os
could,esp,MD,suggest,VB,ise
likely,esp,RB,airway,NN,os
vs,esp,VBZ,acute,JJ,ise
no,neg,DT,foreign,JJ,isn
no,neg,DT,kidneys,DT,isn
consistent_with,esp,JJ_IN,findings,NNS,os
vs,esp,VBZ,right,RB,os
no,neg,DT,bacterial,JJ,isn
no,neg,DT,fever,NN,isn
without,neg,IN,evidence,NN,isn
no,neg,DT,pneumonia,DT,isn
suggest,esp,VBP,tissue,NN,os
or,esp,CC,technique,NN,ise
rule_out,esp,NN_RP,and,CC,os
without,neg,IN,left,NN,os
not,neg,RB,a,DT,os
favor,esp,NN,information,NN,os
may,esp,MD,technical,JJ,ise
or,esp,CC,chronic,NN,os
suggestive,esp,NN,mild,JJ,os
or,esp,CC,of,IN,os
not_excluded,esp,RB_VBN,the,DT,os
probable,esp,JJ,consistent,JJ,os
no,neg,DT,change,NN,isn
or,esp,CC,may,MD,os
likely,esp,RB,increased,VBN,os
no,neg,DT,pneumonia,DT,isn
not,neg,RB,does,VBZ,os
may,esp,MD,due,JJ,ise
likely,esp,RB,focus,NN,ise
suggests,esp,VBZ,of,IN,ise
no,neg,DT,change,NN,isn
compatible_with,esp,JJ_IN,cystic,JJ,ise
versus,esp,CC,of,IN,os
may,esp,MD,document,VB,os
or,esp,CC,disease,NNS,ise
no,neg,DT,abnormality,DT,isn
no,neg,DT,with,IN,os
no,neg,DT,suggest,VB,isn
thought,esp,VBD,by,IN,os
or,esp,CC,the,DT,os
no,neg,DT,interval,NN,isn
may,esp,MD,fat,RB,ise
or,esp,CC,increased,VBD,os
consider,esp,VBP,antibiotics,NNS,os
or,esp,CC,the,DT,os
possible,esp,JJ,febrile,JJ,os
rule_out,esp,NN_IN,mediastinal,JJ,ise
and_or,esp,JJ_JJ,suggestive,NN,os
would,esp,MD,suggest,VB,ise
or,esp,CC,pneumonia,NN,os
likely,esp,RB,disease,NN,ise
suggestion,esp,NN,on,IN,ise
no,neg,DT,identified,DT,isn
may,esp,MD,artifact,NN,ise
no,neg,DT,the,DT,isn
no,neg,DT,bladder,DT,isn
appear,esp,VB,or,CC,os
or,esp,CC,the,DT,os
no,neg,DT,the,DT,isn
may,esp,MD,the,DT,os
suggest,esp,VBP,peribronchial,JJ,os
likely,esp,JJ,opacity,NN,os
vs,esp,VBZ,lower,JJR,os
could,esp,MD,represent,VB,ise
felt,esp,VBN,soft,JJ,ise
or,esp,CC,the,DT,os
or,esp,CC,in,IN,ise
no,neg,DT,cardiopulmonary,NN,isn
either_or,esp,CC_CC,disease,NN,os
no,neg,DT,kidney,DT,isn
could,esp,MD,community,NN,ise
no,neg,DT,effusion,EX,isn
without,neg,IN,the,DT,os
consistent_with,esp,JJ_IN,bladder,NN,ise
without,neg,IN,a,DT,os
without,neg,IN,cortical,JJ,isn
appear,esp,VB,and,CC,os
raise_the_question_of,esp,VBP_DT_NN_IN,infection,NNS,ise
uncertain,esp,JJ,is,VBZ,os
no,neg,DT,acute,JJ,isn
may,esp,MD,findings,NNS,os
the_possibility_not_ruled_out,esp,DT_NN_RB_VBN_RP,fourchette,DT,ise
possible,esp,JJ,or,CC,ise
may,esp,MD,nonspecific,JJ,os
no,neg,DT,the,DT,isn
should,esp,MD,atypical,JJ,ise
not,neg,RB,exam,DT,isn
no_evidence,esp,DT_NN,of,IN,ise
should,esp,MD,the,DT,ise
likely,esp,RB,left,VBN,ise
without,neg,IN,thinning,JJ,isn
no,neg,DT,normal,NN,os
no,neg,DT,radiographic,JJ,isn
versus,esp,CC,airway,NN,ise
without,neg,IN,growth,NN,os
no,neg,DT,focal,JJ,isn
no,neg,DT,some,DT,os
no,neg,DT,procedure,DT,isn
would,esp,MD,the,DT,os
or,esp,CC,of,IN,os
appear,esp,VB,with,IN,os
appears,esp,VBZ,2001.0,JJ,os
no,neg,DT,acute,JJ,isn
may,esp,MD,of,IN,os
without,neg,IN,of,IN,isn
no,neg,DT,on,IN,os
suggesting,esp,VBG,narrowing,CD,os
without,neg,IN,mild,JJ,os
possible,esp,JJ,scar,RB,ise
could,esp,MD,resolved,VBN,ise
evaluate_for,esp,VB_IN,calculi,JJ,ise
not,neg,RB,system,NN,os
no,neg,DT,evidence,NN,isn
no,neg,DT,airway,NN,os
whether,esp,IN,be,VB,ise
without,neg,IN,months,NNS,os
may,esp,MD,airways,NNS,ise
or,esp,CC,viral,JJ,ise
may,esp,MD,of,IN,os
or,esp,CC,airways,NNS,os
without,neg,IN,mild,JJ,os
may,esp,MD,infection,VB,ise
suggested,esp,VBD,duplication,NN,ise
not,neg,RB,today,DT,isn
or,esp,CC,airways,NNS,ise
or,esp,CC,renal,JJ,os
no,neg,DT,the,DT,isn
and_or_and_or,esp,JJ_JJ_JJ_JJ,pleural,NN,os
possibly,esp,RB,large,JJ,os
or,esp,CC,perihilar,NN,os
without,neg,IN,appearing,VBG,os
may,esp,MD,or,CC,ise
no,neg,DT,seen,DT,isn
evaluate_for,esp,VB_IN,year,DT,os
no,neg,DT,are,VBP,isn
or,esp,CC,less,JJR,os
without,neg,IN,picture,NN,os
consistent_with,esp,JJ_IN,of,IN,os
without,neg,IN,focal,JJ,isn
or,esp,CC,the,DT,os
may,esp,MD,pneumonia,JJ,ise
can,esp,MD,right,NN,os
suggest,esp,VB,possibly,RB,os
not,neg,RB,on,IN,isn
versus_versus,esp,CC_CC,pelvis,NNS,os
consistent_with,esp,JJ_IN,findings,NNS,os
appear,esp,VB,is,VBZ,os
suggestive,esp,NN,scarring,NN,os
no,neg,DT,to,TO,isn
no,neg,DT,kidney,DT,isn
evaluate_for,esp,VB_IN,and,CC,os
negative,neg,JJ,the,DT,os
not,neg,RB,on,IN,isn
no,neg,DT,pneumonia,NN,isn
no,neg,DT,identified,DT,isn
versus,esp,CC,right,RB,os
or,esp,CC,swelling,VBG,ise
could,esp,MD,of,IN,ise
no,neg,DT,january,JJ,os
the_possibility_not_ruled_out,esp,DT_NN_RB_VBN_RP,the,DT,ise
can,esp,MD,thoracic,JJ,os
no,neg,DT,the,DT,os
or,esp,CC,small,JJ,os
likely,esp,RB,s,VBN,os
versus,esp,CC,bilateral,JJ,os
consistent_with,esp,JJ_IN,neurogenic,JJ,ise
may,esp,MD,be,VB,ise
rule_out,esp,NN_IN,old,JJ,os
or,esp,CC,disease,NN,os
no,neg,DT,acute,JJ,isn
